,majorgroup_code,majorgroup_title,majorgroup_desc
0,'00,Senior management occupations,
1,'01,Specialized middle management occupations,
2,'02,Specialized middle management occupations,
3,'03,Specialized middle management occupations,
4,'04,Specialized middle management occupations,
5,'05,Specialized middle management occupations,
6,'06,Middle management occupations in retail and wholesale trade and customer services,
7,'07,"Middle management occupations in trades, transportation, production and utilities",
8,'08,"Middle management occupations in trades, transportation, production and utilities",
9,'09,"Middle management occupations in trades, transportation, production and utilities",
10,'11,Professional occupations in business and finance,
11,'12,Administrative and financial supervisors and administrative occupations,
12,'13,"Finance, insurance and related business administrative occupations",
13,'14,Office support occupations,
14,'15,"Distribution, tracking and scheduling co-ordination occupations",
15,'21,Professional occupations in natural and applied sciences,
16,'22,Technical occupations related to natural and applied sciences,
17,'30,Professional occupations in nursing,
18,'31,Professional occupations in health (except nursing),
19,'32,Technical occupations in health,
20,'34,Assisting occupations in support of health services,
21,'40,Professional occupations in education services,
22,'41,"Professional occupations in law and social, community and government services",
23,'42,"Paraprofessional occupations in legal, social, community and education services",
24,'43,Occupations in front-line public protection services,
25,'44,"Care providers and educational, legal and public protection support occupations","This major group will include Home Child Care Providers, Home Support Workers, Housekeepers and Related Occupations and Elementary and Secondary School Teacher Assistants Support Workers"
26,'51,Professional occupations in art and culture,"This major group comprises professional occupations in art and culture. It includes librarians, archivists, conservators, curators, writers, translators and artists.

Occupations in this major group are classified into the following minor group(s): "
27,'52,"Technical occupations in art, culture, recreation and sport",
28,'62,Retail sales supervisors and specialized sales occupations,
29,'63,Service supervisors and specialized service occupations,
30,'64,Sales representatives and salespersons &ndash; wholesale and retail trade,
31,'65,Service representatives and other customer and personal services occupations,
32,'66,Sales support occupations,
33,'67,"Service support and other service occupations, n.e.c.",
34,'72,"Industrial, electrical and construction trades",
35,'73,Maintenance and equipment operation trades,
36,'74,"Other installers, repairers and servicers and material handlers",
37,'75,Transport and heavy equipment operation and related maintenance occupations,
38,'76,"Trades helpers, construction labourers and related occupations",
39,'82,"Supervisors and technical occupations in natural resources, agriculture and related production",
40,'84,"Workers in natural resources, agriculture and related production",
41,'86,"Harvesting, landscaping and natural resources labourers",
42,'92,"Processing, manufacturing and utilities supervisors and central control operators",
43,'94,Processing and manufacturing machine operators and related production workers,
44,'95,Assemblers in manufacturing,
45,'96,"Labourers in processing, manufacturing and utilities",
