,minorgroup_code,minorgroup_title,minorgroup_desc
0,'001,Legislators and senior management,
1,'011,Administrative services managers,
2,'012,Managers in financial and business services,
3,'013,Managers in communication (except broadcasting),
4,'021,"Managers in engineering, architecture, science and information systems",
5,'031,Managers in health care,
6,'041,Managers in public administration,
7,'042,Managers in education and social and community services,
8,'043,Managers in public protection services,
9,'051,"Managers in art, culture, recreation and sport",
10,'060,Corporate sales managers,
11,'062,Retail and wholesale trade managers,
12,'063,Managers in food service and accommodation,
13,'065,"Managers in customer and personal services, n.e.c.",
14,'071,Managers in construction and facility operation and maintenance,
15,'073,Managers in transportation,
16,'081,Managers in natural resources production and fishing,
17,'082,"Managers in agriculture, horticulture and aquaculture",
18,'091,Managers in manufacturing and utilities,
19,'111,"Auditors, accountants and investment professionals",
20,'112,Human resources and business service professionals,
21,'121,Administrative services supervisors,
22,'122,Administrative and regulatory occupations,
23,'124,"Office administrative assistants &ndash; general, legal and medical",
24,'125,"Court reporters, transcriptionists, records management technicians and statistical officers",
25,'131,"Finance, insurance and related business administrative occupations",
26,'141,General office workers,
27,'142,Office equipment operators,
28,'143,"Financial, insurance and related administrative support workers",
29,'145,"Library, correspondence and other clerks",
30,'151,Mail and message distribution occupations,
31,'152,"Supply chain logistics, tracking and scheduling co-ordination occupations",
32,'211,Physical science professionals,
33,'212,Life science professionals,
34,'213,"Civil, mechanical, electrical and chemical engineers",
35,'214,Other engineers,
36,'215,"Architects, urban planners and land surveyors",
37,'216,"Mathematicians, statisticians and actuaries",
38,'217,Computer and information systems professionals,
39,'221,Technical occupations in physical sciences,
40,'222,Technical occupations in life sciences,
41,'223,"Technical occupations in civil, mechanical and industrial engineering",
42,'224,Technical occupations in electronics and electrical engineering,
43,'225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology",
44,'226,Other technical inspectors and regulatory officers,
45,'227,Transportation officers and controllers,
46,'228,Technical occupations in computer and information systems,
47,'301,Professional occupations in nursing,
48,'311,"Physicians, dentists and veterinarians",
49,'312,"Optometrists, chiropractors and other health diagnosing and treating professionals",
50,'313,"Pharmacists, dietitians and nutritionists",
51,'314,Therapy and assessment professionals,
52,'321,Medical technologists and technicians (except dental health),
53,'322,Technical occupations in dental health care,
54,'323,Other technical occupations in health care,
55,'341,Assisting occupations in support of health services,
56,'401,University professors and post-secondary assistants,
57,'402,College and other vocational instructors,
58,'403,Secondary and elementary school teachers and educational counsellors,
59,'411,"Judges, lawyers and Quebec notaries",
60,'415,Social and community service professionals,
61,'416,"Policy and program researchers, consultants and officers",
62,'421,"Paraprofessional occupations in legal, social, community and education services",
63,'431,Occupations in front-line public protection services,
64,'441,Home care providers and educational support occupations,
65,'442,Legal and public protection support occupations,
66,'511,"Librarians, archivists, conservators and curators",
67,'512,"Writing, translating and related communications professionals",
68,'513,Creative and performing artists,
69,'521,"Technical occupations in libraries, public archives, museums and art galleries",
70,'522,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",
71,'523,"Announcers and other performers, n.e.c.",
72,'524,Creative designers and craftspersons,
73,'525,"Athletes, coaches, referees and related occupations",
74,'621,Retail sales supervisors,
75,'622,Technical sales specialists in wholesale trade and retail and wholesale buyers,
76,'623,"Insurance, real estate and financial sales occupations",
77,'631,Service supervisors,
78,'632,Chefs and cooks,
79,'633,Butchers and bakers,
80,'634,Specialized occupations in personal and customer services,
81,'641,Sales and account representatives &ndash; wholesale trade (non-technical),
82,'642,Retail salespersons,
83,'651,Occupations in food and beverage service,
84,'652,Occupations in travel and accommodation,
85,'653,Tourism and amusement services occupations,
86,'654,Security guards and related security service occupations,
87,'655,Customer and information services representatives,
88,'656,Other occupations in personal service,
89,'662,Other sales support and related occupations,
90,'671,"Food counter attendants, kitchen helpers and related support occupations",
91,'672,"Support occupations in accommodation, travel and amusement services",
92,'673,Cleaners,
93,'674,"Other service support and related occupations, n.e.c.",
94,'720,"Contractors and supervisors, industrial, electrical and construction trades and related workers",
95,'723,"Machining, metal forming, shaping and erecting trades",
96,'724,Electrical trades and electrical power line and telecommunications workers,
97,'725,"Plumbers, pipefitters and gas fitters",
98,'727,Carpenters and cabinetmakers,
99,'728,Masonry and plastering trades,
100,'729,Other construction trades,
101,'730,"Contractors and supervisors, maintenance trades and heavy equipment and transport operators",
102,'731,Machinery and transportation equipment mechanics (except motor vehicles),
103,'732,Automotive service technicians,
104,'733,Other mechanics and related repairers,
105,'736,Train crew operating occupations,
106,'737,"Crane operators, drillers and blasters",
107,'738,"Printing press operators and other trades and related occupations, n.e.c.",
108,'744,"Other installers, repairers and servicers",
109,'745,Longshore workers and material handlers,
110,'751,Motor vehicle and transit drivers,
111,'752,Heavy equipment operators,
112,'753,Other transport equipment operators and related maintenance workers,
113,'761,Trades helpers and labourers,
114,'762,"Public works and other labourers, n.e.c.",
115,'821,"Supervisors, logging and forestry",
116,'822,"Contractors and supervisors, mining, oil and gas",
117,'823,"Underground miners, oil and gas drillers and related occupations",
118,'824,Logging machinery operators,
119,'825,"Contractors and supervisors, agriculture, horticulture and related operations and services",
120,'826,Fishing vessel masters and fishermen/women,
121,'841,Mine service workers and operators in oil and gas drilling,
122,'842,Logging and forestry workers,
123,'843,Agriculture and horticulture workers,
124,'844,Other workers in fishing and trapping and hunting occupations,
125,'861,"Harvesting, landscaping and natural resources labourers",
126,'921,"Supervisors, processing and manufacturing occupations",
127,'922,"Supervisors, assembly and fabrication",
128,'923,Central control and process operators in processing and manufacturing,
129,'924,Utilities equipment operators and controllers,
130,'941,Machine operators and related workers in mineral and metal products processing and manufacturing,
131,'942,"Machine operators and related workers in chemical, plastic and rubber processing",
132,'943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing,
133,'944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",
134,'946,"Machine operators and related workers in food, beverage and associated products processing",
135,'947,Printing equipment operators and related occupations,
136,'952,"Mechanical, electrical and electronics assemblers",
137,'953,Other assembly and related occupations,
138,'961,"Labourers in processing, manufacturing and utilities",
